    PID TTY          TIME CMD
    852 ?        00:00:00 (sd-pam)
    628 ?        00:00:00 ModemManager
    605 ?        00:00:01 NetworkManager
   1016 ?        00:00:08 Thunar
    690 tty7     00:04:36 Xorg
     98 ?        00:00:00 acpi_thermal_pm
   1095 ?        00:00:00 agent
    691 tty1     00:00:00 agetty
    944 ?        00:00:00 at-spi-bus-laun
    960 ?        00:00:02 at-spi2-registr
    179 ?        00:00:00 ata_sff
     50 ?        00:00:00 blkcg_punt_bio
   1085 ?        00:00:00 blueman-applet
    190 ?        00:00:00 card0-crtc0
    191 ?        00:00:00 card0-crtc1
    192 ?        00:00:00 card0-crtc2
    193 ?        00:00:00 card0-crtc3
    194 ?        00:00:00 card0-crtc4
    195 ?        00:00:00 card0-crtc5
    196 ?        00:00:00 card0-crtc6
    197 ?        00:00:00 card0-crtc7
  51525 ?        00:00:00 cfg80211
   1130 ?        00:00:00 colord
     18 ?        00:00:00 cpuhp/0
     19 ?        00:00:00 cpuhp/1
     24 ?        00:00:00 cpuhp/2
     29 ?        00:00:00 cpuhp/3
    627 ?        00:00:00 cron
    186 ?        00:00:00 cryptd
    595 ?        00:00:07 dbus-daemon
    873 ?        00:00:06 dbus-daemon
    951 ?        00:00:00 dbus-daemon
   1107 ?        00:00:00 dconf-service
     53 ?        00:00:00 devfreq_wq
     52 ?        00:00:00 edac-poller
    303 ?        00:00:00 ext4-rsv-conver
   1527 ?        00:00:00 fusermount3
    869 ?        00:00:00 gnome-keyring-d
    971 ?        00:00:00 gpg-agent
   1266 ?        00:00:01 gvfs-afc-volume
   1276 ?        00:00:00 gvfs-goa-volume
   1259 ?        00:00:00 gvfs-gphoto2-vo
   1252 ?        00:00:00 gvfs-mtp-volume
   1094 ?        00:00:00 gvfs-udisks2-vo
    976 ?        00:00:00 gvfsd
    981 ?        00:00:00 gvfsd-fuse
   1314 ?        00:00:00 gvfsd-metadata
   1299 ?        00:00:00 gvfsd-trash
    483 ?        00:00:00 haveged
     39 ?        00:00:00 inet_frag_wq
    101 ?        00:00:00 ipv6_addrconf
    189 ?        00:00:05 irq/16-vmwgfx
     66 ?        00:00:00 irq/24-pciehp
     67 ?        00:00:00 irq/25-pciehp
